대여소번호,대여소명,자치구,상세주소,위도,경도,설치시기,LCD,QR,운영방식,자전거수,연도,월,일,요일
301.0,경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞,37.57579422,126.97145081,2015-10-07 12:03:46.000,20.0,20.0,QR,40,2015,10,7,2
302.0,경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤,37.57594681,126.97406006,2015-10-07 12:04:22.000,12.0,12.0,QR,24,2015,10,7,2
303.0,광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189 세종로공원,37.57176971,126.97466278,2015-10-07 00:00:00.000,8.0,8.0,QR,16,2015,10,7,2
305.0,종로구청 옆,종로구,서울특별시 종로구 세종로 84-1,37.57255936,126.97833252,2015-01-07 00:00:00.000,16.0,16.0,QR,32,2015,1,7,2
307.0,서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55 서울역사박물관 앞,37.56999969,126.97109985,2015-10-07 12:09:09.000,11.0,11.0,QR,22,2015,10,7,2
308.0,광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82 광화문S타워 앞,37.56996918,126.97393799,2015-10-07 12:09:58.000,20.0,31.0,QR,51,2015,10,7,2
309.0,광화문역 6번출구 옆 B,종로구,서울특별시 종로구 새문안로 102-2 가로판매대,37.56996155,126.97615814,2015-10-07 00:00:00.000,13.0,13.0,QR,26,2015,10,7,2
314.0,국립현대미술관,종로구,서울특별시 종로구 삼청로 30 국립현대미술관 서울관,37.5797081,126.98085785,2015-10-07 12:13:37.000,10.0,10.0,QR,20,2015,10,7,2
316.0,종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.98178864,2015-10-07 00:00:00.000,8.0,8.0,QR,16,2015,10,7,2
326.0,안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62 안국역 5번출구 앞,37.57624054,126.98616028000001,2015-10-07 12:22:14.000,18.0,15.0,QR,33,2015,10,7,2
327.0,낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428 낙원상가 옆,37.57335663,126.9874649,2015-10-07 00:00:00.000,10.0,10.0,QR,20,2015,10,7,2
328.0,탑골공원 앞,종로구,서울특별시 종로구 종로 99 탑골공원 앞,37.57039642,126.9881897,2015-10-07 12:23:33.000,11.0,11.0,QR,22,2015,10,7,2
329.0,청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93 파고다타워,37.56848526,126.98788452,2015-10-07 12:24:36.000,8.0,8.0,QR,16,2015,10,7,2
334.0,종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129 종로3가역 2번출구 뒤,37.5705986,126.99179077,2015-10-07 12:27:34.000,10.0,10.0,QR,20,2015,10,7,2
335.0,종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129 15번출구 앞,37.57019424,126.99165344,2015-10-07 00:00:00.000,10.0,10.0,QR,20,2015,10,7,2
337.0,창경궁 입구,종로구,서울특별시 종로구 창경궁로 185 창경궁 입구,37.57897949,126.99647522,2015-10-07 12:29:40.000,5.0,5.0,QR,10,2015,10,7,2
338.0,세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109 세운스퀘어 앞,37.57095718,126.99712372,2015-10-07 12:30:12.000,18.0,18.0,QR,36,2015,10,7,2
339.0,종로4가 사거리,종로구,서울특별시 종로구 종로 185 종로4가 사거리,37.57106781,126.99819183,2015-10-07 12:30:44.000,10.0,10.0,QR,20,2015,10,7,2
340.0,혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1 혜화동 로터리,37.58562851,127.00067902,2015-10-07 00:00:00.000,8.0,8.0,QR,16,2015,10,7,2
341.0,혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120 혜화역 3번출구 뒤,37.58156967,127.00178528000001,2015-10-07 00:00:00.000,10.0,8.0,QR,18,2015,10,7,2
342.0,대학로 마로니에공원,종로구,서울특별시 종로구 대학로 104 대학로 마로니에공원,37.57978439,127.00253296,2015-10-07 12:33:32.000,15.0,22.0,QR,37,2015,10,7,2
343.0,힐스테이트창경궁 아파트 앞,종로구,서울특별시 종로구 충신동 60,37.57561111,127.00469971,2015-10-07 12:34:08.000,12.0,6.0,QR,18,2015,10,7,2
344.0,성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259 성균관대 E하우스 앞,37.57419968,127.0065918,2015-10-07 12:34:49.000,10.0,10.0,QR,20,2015,10,7,2
345.0,서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29 서울보증보험본사 앞,37.57330704,127.00070953,2015-10-07 12:35:48.000,18.0,18.0,QR,36,2015,10,7,2
348.0,독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1 독립문역 사거리,37.57202911,126.96078491,2016-06-01 14:30:00.000,14.0,,LCD,14,2016,6,1,2
349.0,어린이도서관,종로구,서울특별시 종로구 사직로9길 5 사직동주민센터,37.57633209,126.96858978,2016-06-01 14:30:00.000,5.0,,LCD,5,2016,6,1,2
351.0,청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22 청운초교 앞 삼거리,37.58496857,126.97041321,2016-06-01 14:30:00.000,5.0,,LCD,5,2016,6,1,2
352.0,중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191 중앙고입구 삼거리,37.58341599,126.98523712,2016-06-01 14:30:00.000,10.0,,LCD,10,2016,6,1,2
353.0,재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19 재동초교 앞 삼거리,37.57938766,126.9849472,2016-06-01 14:30:00.000,8.0,,LCD,8,2016,6,1,2
354.0,포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3 포르투갈 대사관 앞,37.57915497,126.98896027,2016-06-01 14:30:00.000,10.0,10.0,QR,20,2016,6,1,2
355.0,서울사대부설초등학교 앞,종로구,서울특별시 종로구 연건동 178-3 서울사대부속초교 앞,37.57650757,127.00245667,2016-06-01 14:30:00.000,15.0,15.0,QR,30,2016,6,1,2
356.0,KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65 KT혜화지사 앞,37.57714462,127.00205994,2016-06-01 14:30:00.000,15.0,15.0,QR,30,2016,6,1,2
358.0,성균관대입구 사거리 A,종로구,서울특별시 종로구 창경궁로 234 성대입구 사거리,37.58250046,126.99853516,2016-06-01 14:30:00.000,13.0,13.0,QR,26,2016,6,1,2
359.0,원남동사거리,종로구,서울특별시 종로구 율곡로 169 원남동사거리,37.57606125,126.99768066,2016-06-01 14:30:00.000,8.0,,LCD,8,2016,6,1,2
361.0,동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39 동묘앞역 1번출구 뒤,37.57324219,127.01590729,2016-06-01 14:30:00.000,10.0,,LCD,10,2016,6,1,2
362.0,청계8가 사거리 A,종로구,서울특별시 종로구 청계천로 407 청계8가 사거리,37.57219696,127.02304077,2016-06-01 14:30:00.000,10.0,,LCD,10,2016,6,1,2
363.0,신설동역 11번출구 뒤,종로구,서울특별시 종로구 종로 411-3 가로판매,37.57559204,127.02285004,2016-06-01 14:30:00.000,13.0,,LCD,13,2016,6,1,2
364.0,창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87 창신역 1번출구 앞,37.57933426,127.01508331,2016-06-01 14:30:00.000,8.0,8.0,QR,16,2016,6,1,2
367.0,독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7 독립문역 3번출구 뒤,37.57415771,126.95851898,2016-06-01 14:30:00.000,8.0,13.0,QR,21,2016,6,1,2
368.0,SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2 SK 서린빌딩 앞,37.5692482,126.98053741,2016-06-01 14:30:00.000,15.0,15.0,QR,30,2016,6,1,2
385.0,종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1 종각역 5번출구,37.56983566,126.98265839,2016-07-06 12:00:00.000,10.0,,LCD,10,2016,7,6,2
388.0,동성중학교 앞,종로구,서울특별시 종로구 혜화동 56 동성중학교 앞,37.58573532,127.0016098,2016-09-02 11:00:00.000,10.0,,LCD,10,2016,9,2,4
393.0,동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308 동대문역 8번출구,37.57014084,127.00937653,2018-01-26 14:06:14.000,12.0,,LCD,12,2018,1,26,4
394.0,경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35 경희궁자이 3단지,37.56748962,126.96591949,2018-01-26 14:07:43.000,15.0,15.0,QR,30,2018,1,26,4
395.0,경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99 경희궁 자이 3단지,37.56885529,126.96456146,2018-01-26 14:08:25.000,8.0,,LCD,8,2018,1,26,4
397.0,종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200 종묘공영주차장 건너편,37.57048035,126.99663544,2018-04-30 11:16:05.000,13.0,,LCD,13,2018,4,30,0
446.0,상명대입구,종로구,서울특별시 종로구 홍지문길 1 상명대 입구,37.60012817,126.95783234,2017-08-01 14:17:25.000,13.0,,LCD,13,2017,8,1,1
447.0,신영동삼거리,종로구,서울특별시 종로구 진흥로 499 신영동 삼거리,37.60399246,126.96194458,2017-08-01 14:18:31.000,6.0,6.0,QR,12,2017,8,1,1
449.0,일성아파트,종로구,서울특별시 종로구 평창문화로 119 일성아파트,37.60871887,126.97286224,2017-08-01 14:20:36.000,10.0,,LCD,10,2017,8,1,1
